name,specialty,city,area,stars,reviews,address,phone,website,latitude,longitude,maps_url
Dr Rajesh Dhopeshwarkar (Heart Rhythm & Heart Failure Clinic),cardiologist,Pune,,4.9,761,"C2 Third Floor, Minar Apartments, Law College Rd, opp. Maruti Showroom, Shanti Sheela Society, Apex Colony, Erandwane, Pune, Maharashtra 411038",096571 38400,http://cardiologypune.com/,18.5136811,73.8289084,"https://www.google.com/maps/place/Dr+Rajesh+Dhopeshwarkar+(Heart+Rhythm+%26+Heart+Failure+Clinic)/@18.5136811,73.7928595,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2bf90138135d7:0x640c5e61cba60a42!8m2!3d18.5136811!4d73.8289084!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBBmRvY3RvcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSeU16bEVjbmQzUlJBQuABAPoBBAgAEEw!16s%2Fg%2F11bx55wdzg?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr Aniruddha B Chandorkar,cardiologist,Pune,,4.6,75,"101, Yashod Apartments, Opp. Symbiosis High School, Lane No 15, Prabhat Rd, Pune, Maharashtra 411004",095799 23046,N/A,18.5156552,73.8304363,"https://www.google.com/maps/place/Dr+Aniruddha+B+Chandorkar/@18.5136811,73.7928595,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2bf8f258dd7fd:0xc6e7de8db8cf243b!8m2!3d18.5156552!4d73.8304363!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQycEtNbFJ0WkZkVU1sSk9ZakJHU0ZGdVRsbE9WbHBRVEZaV1JHUkdSUkFC4AEA-gEFCN0CEEc!16s%2Fg%2F1tmckp8x?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Vivek Gaikwad's Hridayaksha Heart & Eye Clinic | Best Cardiologist In Pune,cardiologist,Pune,,5.0,622,"Second floor, Grand Helios 202, Lakaki Rd, above Axis Bank, Model Colony, Shivajinagar, Pune, Maharashtra 411016",081778 27714,http://www.hridayaksha.com/,18.5286809,73.84034,"https://www.google.com/maps/place/Dr.+Vivek+Gaikwad's+Hridayaksha+Heart+%26+Eye+Clinic+%7C+Best+Cardiologist+In+Pune/@18.5136811,73.7928595,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2c174bb8406cb:0x3fbb0d2bb522e456!8m2!3d18.5286809!4d73.84034!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdOABAA!16s%2Fg%2F11fsfclpnb?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Sunil Sathe - Cardiac Care and Counselling Centre,cardiologist,Pune,,4.4,149,"4th Floor, Park Plaza, 775/1, Dr Ketkar Rd, opposite Kamala Nehru Park Road, off Bhandarkar Road, Deccan Gymkhana, Pune, Maharashtra 411004",020 2566 3890,https://www.cardiaccareandcounsellingcentre.in/,18.5175125,73.8339732,"https://www.google.com/maps/place/Dr.+Sunil+Sathe+-+Cardiac+Care+and+Counselling+Centre/@18.5136811,73.7928595,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2bf85c36d50ef:0xb0f6ed83f28b51c9!8m2!3d18.5175125!4d73.8339732!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOQ2IwbGZPWGRSUlJBQuABAPoBBAh9EEM!16s%2Fg%2F1tm283y3?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr.Rahul Sawant | Best Cardiologist in Pune | Hridaymitra Cardia Clinic Pune,cardiologist,Pune,,5.0,808,"City Pride Cinema, 1st Floor Pushpa Prestige Above Puma Showroom Cosmos bank, Pune - Satara Rd, opposite HOTEL UTSAV DELUXE, Pune, Maharashtra 411009",090219 40551,https://hridaymitracardiaclinic.com/,18.4894508,73.8572494,"https://www.google.com/maps/place/Dr.Rahul+Sawant+%7C+Best+Cardiologist+in+Pune+%7C+Hridaymitra+Cardia+Clinic+Pune/@18.4894508,73.8212005,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2c01c783b0983:0x5956d5c95e481b2f!8m2!3d18.4894508!4d73.8572494!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdOABAA!16s%2Fg%2F11fyx5b35m?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Rahul Patil | Best Cardiologist in Pune | Heart Doctor in Pune | Heart Clinic,cardiologist,Pune,,4.9,2088,"A, 301, Chatrapati Shahu Maharaj Rd, opposite Ruby Hall, Sangamvadi, Pune, Maharashtra 411001",020 2616 1553,https://www.bestcardiologistpune.com/,18.532443,73.8765357,"https://www.google.com/maps/place/Dr.+Rahul+Patil+%7C+Best+Cardiologist+in+Pune+%7C+Heart+Doctor+in+Pune+%7C+Heart+Clinic/@18.532443,73.8404868,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2c0f7f074a6a7:0x152227b29150240f!8m2!3d18.532443!4d73.8765357!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOTWVtRTJSR05uRUFF4AEA-gEECAAQQQ!16s%2Fg%2F11b7k_07bx?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Kedar Kulkarni | Best Cardiologist in Pune | Heart Doctor in Pune,cardiologist,Pune,,4.8,59,"1st Floor, Above Chaitanya Paratha, Chanakyapuri Tukaram Paduka Chowk, Fergusson College Rd, Pune, Maharashtra 411004",090969 72869,https://www.cardiologyclinic.in/,18.5237134,73.8411659,"https://www.google.com/maps/place/Dr.+Kedar+Kulkarni+%7C+Best+Cardiologist+in+Pune+%7C+Heart+Doctor+in+Pune/@18.5237134,73.805117,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2bf2f96cb9d7f:0xe54e72c54c7a59b0!8m2!3d18.5237134!4d73.8411659!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdOABAA!16s%2Fg%2F11h53wfs9b?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Tanmay S Kulkarni | TAVI Expert in Maharashtra | TAVR | Cardiologist in Pune | Mitra Clip Specialist,cardiologist,Pune,,N/A,N/A,"Joshi Hospital, 778, Kamala Nehru Park Rd, opposite Kamala Nehru Park, Shivajinagar, Pune, Maharashtra 411004",085519 13753,http://www.drtanmaykulkarni.com/,18.5171195,73.8330595,"https://www.google.com/maps/place/Dr.+Tanmay+S+Kulkarni+%7C+TAVI+Expert+in+Maharashtra+%7C+TAVR+%7C+Cardiologist+in+Pune+%7C+Mitra+Clip+Specialist/@18.5237134,73.805117,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2bfdefdceb301:0xb5b3b3e3d34898cd!8m2!3d18.5171195!4d73.8330595!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdOABAA!16s%2Fg%2F11z3_b5ktw?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Swapnil Mate | Consultant Interventional Cardiologist in Pune,cardiologist,Pune,,5.0,20,"Flat no.104, Lifemate clinic, Goodluck Chowk, Samadhan Apartments, Bhandarkar Rd, beside The Oakwood Hotel, Shivajinagar, Pune, Maharashtra 411004",084596 12363,https://www.drswapnilmate.com/,18.5175674,73.8405969,"https://www.google.com/maps/place/Dr.+Swapnil+Mate+%7C+Consultant+Interventional+Cardiologist+in+Pune/@18.5237134,73.805117,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2b91c97214ef9:0x2a56debe126d2121!8m2!3d18.5175674!4d73.8405969!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDGNhcmRpb2xvZ2lzdOABAA!16s%2Fg%2F11hf82gnyf?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Suhrud cardiology,cardiologist,Pune,,5.0,13,"plot no 23, off, Karve Rd, Khilarewadi, Erandwane, Pune, Maharashtra 411004",N/A,N/A,18.5095996,73.8366632,"https://www.google.com/maps/place/Suhrud+cardiology/@18.5237134,73.805117,14z/data=!4m10!1m2!2m1!1scardiologist+in+Pune!3m6!1s0x3bc2bf623855918f:0x8d9849d5dbba16b8!8m2!3d18.5095996!4d73.8366632!15sChRjYXJkaW9sb2dpc3QgaW4gUHVuZVoWIhRjYXJkaW9sb2dpc3QgaW4gcHVuZZIBDmhlYXJ0X2hvc3BpdGFsmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5TWjB4eVJsSm5FQUXgAQD6AQQIABAt!16s%2Fg%2F11sf0fz9mc?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
