name,specialty,city,area,stars,reviews,address,phone,phone_source,website,latitude,longitude,distance_km,maps_url
Grace IVF Fertility & IVF Centre,IVF Center,Pune,Chikhali,5.0,47,"Dhanashree Multispeciality Hospital, Gat no. 137, Dehu alandi road, Indrayani Rd, near Bharat Mata chowk, Moshi Gaon, Moshi, Pimpri-Chinchwad, Maharashtra 412105",099704 22087,google_maps,https://graceivfcentre.com/,18.6790064,73.8563843,N/A,"https://www.google.com/maps/place/Grace+IVF+Fertility+%26+IVF+Centre/@18.6790064,73.7121887,12z/data=!4m10!1m2!2m1!1sIVF+Center+in+Pune+Chikhali!3m6!1s0x3bc2c9bd03111677:0x59af891dbd910342!8m2!3d18.6790064!4d73.8563843!15sChtJVkYgQ2VudGVyIGluIFB1bmUgQ2hpa2hhbGlaHSIbaXZmIGNlbnRlciBpbiBwdW5lIGNoaWtoYWxpkgEQZmVydGlsaXR5X2NsaW5pY-ABAA!16s%2Fg%2F11x6qqns8t?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Nova IVF Fertility Center PCMC - Best IVF Center in Pimpri Chinchwad, Pune",IVF Center,Pune,Chikhali,4.8,106,"1st Floor, Bizhub, Morewadi, Pimpri Colony, Pimpri-Chinchwad, Pune, Maharashtra 411018",080 4447 7091,google_maps,https://www.novaivffertility.com/ivf-centre/pune/fertility-clinic-pimpri-chinchwad?utm_source=GMB&utm_medium=organic,18.627209,73.806327,N/A,"https://www.google.com/maps/place/Nova+IVF+Fertility+Center+PCMC+-+Best+IVF+Center+in+Pimpri+Chinchwad,+Pune/@18.6790064,73.7121887,12z/data=!4m10!1m2!2m1!1sIVF+Center+in+Pune+Chikhali!3m6!1s0x3bc2b90045c7f81b:0x3ab4a14dbbf8c7df!8m2!3d18.627209!4d73.806327!15sChtJVkYgQ2VudGVyIGluIFB1bmUgQ2hpa2hhbGmSARBmZXJ0aWxpdHlfY2xpbmlj4AEA!16s%2Fg%2F11lmdqfq5p?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Dr Kalyani Ingale-Best Infertility Specialist in PCMC | IVF/IUI Specialist,Gynaec Laparoscopic/Endoscopic Surgeon in PCMC",IVF Center,Pune,Chikhali,4.5,25,"Q, 224-226, Mayur Trade Center, 2nd Floor, Chinchwad, Pimpri-Chinchwad, Pune, Maharashtra 411019",080 4803 4066,google_maps,http://www.nirmiticlinicpune.com/,18.6390322,73.7938541,N/A,"https://www.google.com/maps/place/Dr+Kalyani+Ingale-Best+Infertility+Specialist+in+PCMC+%7C+IVF%2FIUI+Specialist,Gynaec+Laparoscopic%2FEndoscopic+Surgeon+in+PCMC/@18.6790064,73.7121887,12z/data=!3m1!5s0x3bdd3faec52cd913:0x2b6c1570bf0a6cf3!4m10!1m2!2m1!1sIVF+Center+in+Pune+Chikhali!3m6!1s0x3bc2b95c7644df77:0xaa3ab813e37027bf!8m2!3d18.6390322!4d73.7938541!15sChtJVkYgQ2VudGVyIGluIFB1bmUgQ2hpa2hhbGlaHSIbaXZmIGNlbnRlciBpbiBwdW5lIGNoaWtoYWxpkgETZmVydGlsaXR5X3BoeXNpY2lhbuABAA!16s%2Fg%2F11gtyt6dty?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Venus Women’s Hospital & IVF Centre,IVF Center,Pune,Chikhali,4.5,202,"Jadhavwadi corner, Venus hospital, Sector 13, Chikhali, Pimpri-Chinchwad, Maharashtra 411019",099226 04070,google_maps,http://venushospitalpune.com/,18.6622194,73.8237906,N/A,"https://www.google.com/maps/place/Venus+Women%E2%80%99s+Hospital+%26+IVF+Centre/@18.6790064,73.7121887,12z/data=!4m10!1m2!2m1!1sIVF+Center+in+Pune+Chikhali!3m6!1s0x3bc2b9df80da0283:0x16e643b9ef5d1a47!8m2!3d18.6622194!4d73.8237906!15sChtJVkYgQ2VudGVyIGluIFB1bmUgQ2hpa2hhbGlaHSIbaXZmIGNlbnRlciBpbiBwdW5lIGNoaWtoYWxpkgESbWF0ZXJuaXR5X2hvc3BpdGFs4AEA!16s%2Fg%2F11fl47_w6r?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
FYNE IVF Clinic - Moshi,IVF Center,Pune,Chikhali,5.0,5,"3rd Floor, Accord Hospitals, Plot No. 1, Spine Rd, beside FDA, Sant Nagar, Moshi Pradhikaran, Sector Number 4, Moshi, Pimpri-Chinchwad, Maharashtra 411070",096659 89191,google_maps,https://www.fyneivf.com/,18.6481525,73.8497171,N/A,"https://www.google.com/maps/place/FYNE+IVF+Clinic+-+Moshi/@18.6790064,73.7121887,12z/data=!4m10!1m2!2m1!1sIVF+Center+in+Pune+Chikhali!3m6!1s0x3bc2c788583104e9:0x104cb305746a3b6d!8m2!3d18.6481525!4d73.8497171!15sChtJVkYgQ2VudGVyIGluIFB1bmUgQ2hpa2hhbGlaHSIbaXZmIGNlbnRlciBpbiBwdW5lIGNoaWtoYWxpkgEQZmVydGlsaXR5X2NsaW5pY-ABAA!16s%2Fg%2F11xfqkpf9d?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Pune IVF Fertility Centre & Research Institute, Pimple Saudagar, Pimpri Chinchwad",IVF Center,Pune,Chikhali,5.0,164,"Brt Road, Unit No 25, 4th floor, Ganesham Commercial A, Wakad - Nashik Phata BRTS Rd, near Govind Yashada Chowk, Pimple Saudagar, Pune, Maharashtra 411027",090907 87890,google_maps,https://puneivf.com/,18.59755,73.8056909,N/A,"https://www.google.com/maps/place/Pune+IVF+Fertility+Centre+%26+Research+Institute,+Pimple+Saudagar,+Pimpri+Chinchwad/@18.6790064,73.7121887,12z/data=!4m10!1m2!2m1!1sIVF+Center+in+Pune+Chikhali!3m6!1s0x3bc2b9b586e1b9f5:0xefedb415a4734c12!8m2!3d18.59755!4d73.8056909!15sChtJVkYgQ2VudGVyIGluIFB1bmUgQ2hpa2hhbGlaHSIbaXZmIGNlbnRlciBpbiBwdW5lIGNoaWtoYWxpkgEQZmVydGlsaXR5X2NsaW5pY-ABAA!16s%2Fg%2F11w2nlzf2k?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Nirmiti Clinic | Best IVF Centre in PCMC,PUNE | Best Male/Female Fertility,Test Tube Baby Centre in PCMC",IVF Center,Pune,Chikhali,4.6,97,"Nirmiti Clinic,Q224-226,2nd Floor,Mayur Trade Centre, Chinchwad Station Rd, Chinchwad, Pimpri-Chinchwad, Maharashtra 411019",080 4803 4066,google_maps,https://www.nirmiticlinicpune.com/,18.6393392,73.7941051,N/A,"https://www.google.com/maps/place/Nirmiti+Clinic+%7C+Best+IVF+Centre+in+PCMC,PUNE+%7C+Best+Male%2FFemale+Fertility,Test+Tube+Baby+Centre+in+PCMC/@18.6790064,73.7121887,12z/data=!3m1!5s0x3bdd3faec52cd913:0x2b6c1570bf0a6cf3!4m10!1m2!2m1!1sIVF+Center+in+Pune+Chikhali!3m6!1s0x3bc2b983bac0ab91:0xc0f3acf9bcebf7e2!8m2!3d18.6393392!4d73.7941051!15sChtJVkYgQ2VudGVyIGluIFB1bmUgQ2hpa2hhbGlaHSIbaXZmIGNlbnRlciBpbiBwdW5lIGNoaWtoYWxpkgEQZmVydGlsaXR5X2NsaW5pY-ABAA!16s%2Fg%2F11h8brsyjc?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Mother Care and IVF Clinic,IVF Center,Pune,Chikhali,4.7,64,"Ground Floor, Shop no.9, Samrat Chowk, Rama Equator, Morewadi, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018",098904 77743,google_maps,N/A,18.6337593,73.8039694,N/A,"https://www.google.com/maps/place/Mother+Care+and+IVF+Clinic/@18.6790064,73.7121887,12z/data=!4m10!1m2!2m1!1sIVF+Center+in+Pune+Chikhali!3m6!1s0x3bc2b95eff57af8f:0x785cf0722ec5791c!8m2!3d18.6337593!4d73.8039694!15sChtJVkYgQ2VudGVyIGluIFB1bmUgQ2hpa2hhbGmSAQhob3NwaXRhbOABAA!16s%2Fg%2F11krmd0lkl?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Conceive IVF Fertility,Gynecology & Test Tube Baby Center-Best IVF Centre, IVF Treatment, IVF Clinic in Pimpri,PCMC,Pune",IVF Center,Pune,Chikhali,4.9,81,"A114,1st Floor,Gera's Imperium Oasis Old Mumbai - Pune Highway, Finolex Chowk, above Malabar Gold, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018",080 4278 1385,google_maps,https://www.conceiveivfpune.com/pimpri,18.6310568,73.8021284,N/A,"https://www.google.com/maps/place/Conceive+IVF+Fertility,Gynecology+%26+Test+Tube+Baby+Center-Best+IVF+Centre,+IVF+Treatment,+IVF+Clinic+in+Pimpri,PCMC,Pune/@18.6790064,73.7121887,12z/data=!4m10!1m2!2m1!1sIVF+Center+in+Pune+Chikhali!3m6!1s0x3bc2b9062f1f68fd:0x2b90e64328ceed9c!8m2!3d18.6310568!4d73.8021284!15sChtJVkYgQ2VudGVyIGluIFB1bmUgQ2hpa2hhbGlaHSIbaXZmIGNlbnRlciBpbiBwdW5lIGNoaWtoYWxpkgEQZmVydGlsaXR5X2NsaW5pY-ABAA!16s%2Fg%2F11t28c8_47?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Dr Kundan Ingale | IUI,IVF,Infertility Specialist in PCMC | Fertility Doctor in PCMC,India",IVF Center,Pune,Chikhali,4.6,43,"2nd floor, Mayur Trade Center, Q 224-226, Chinchwad, Pimpri-Chinchwad, Maharashtra 411019",080 4803 4066,google_maps,https://www.nirmiticlinic.co.in/,18.639117,73.7940243,N/A,"https://www.google.com/maps/place/Dr+Kundan+Ingale+%7C+IUI,IVF,Infertility+Specialist+in+PCMC+%7C+Fertility+Doctor+in+PCMC,India/@18.6790064,73.7121887,12z/data=!3m1!5s0x3bdd3faec52cd913:0x2b6c1570bf0a6cf3!4m10!1m2!2m1!1sIVF+Center+in+Pune+Chikhali!3m6!1s0x3bc2b9b8f1bfcc15:0x274065352b7ba3d!8m2!3d18.639117!4d73.7940243!15sChtJVkYgQ2VudGVyIGluIFB1bmUgQ2hpa2hhbGlaHSIbaXZmIGNlbnRlciBpbiBwdW5lIGNoaWtoYWxpkgETZmVydGlsaXR5X3BoeXNpY2lhbuABAA!16s%2Fg%2F11gw34tqmk?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
