name,specialty,city,area,stars,reviews,address,phone,phone_source,website,latitude,longitude,distance_km,maps_url
Best Gastroenterologist in PCMC Dr Amol Dahale's Gastro Citi Clinic and Endoscopy Centre,gastroenterologist,Chikhali,Chikhali,4.9,132,"first floor, Old Mumbai Rd, near Reliance Big/Smart Bazar, Anand Nagar, Chinchwad, Pimpri-Chinchwad, Maharashtra 411019",080103 45174,google_maps,https://dramoldahalegastrocity.com/,18.6359724,73.7961384,1.75,"https://www.google.com/maps/place/Best+Gastroenterologist+in+PCMC+Dr+Amol+Dahale's+Gastro+Citi+Clinic+and+Endoscopy+Centre/@18.6359724,73.6519428,12z/data=!3m1!5s0x3be7fe4e0f5df211:0x42ccfbc81e301ee3!4m10!1m2!2m1!1sgastroenterologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b9ff0c81d369:0xdc85f5756c87e335!8m2!3d18.6359724!4d73.7961384!15sCidnYXN0cm9lbnRlcm9sb2dpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaKSInZ2FzdHJvZW50ZXJvbG9naXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgEObWVkaWNhbF9jbGluaWOaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnhXYVZWVVdtcGhSMlJNVTNwR00wMXNWa1JVVmprMllteGFWVlpZWXhBQuABAPoBBAgbEEA!16s%2Fg%2F11v_9wp_nm?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Prasad Bhate | Gastroenterologist in Pune & PCMC | Liver Specialist in Pune,gastroenterologist,Chikhali,Chikhali,4.6,302,"Gera imperium oasis, B 210, near Finolex Chowk, near Moolchand, Morewadi, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018",077700 82211,google_maps,https://www.gastropune.com/,18.6312415,73.8022102,1.9,"https://www.google.com/maps/place/Dr.+Prasad+Bhate+%7C+Gastroenterologist+in+Pune+%26+PCMC+%7C+Liver+Specialist+in+Pune/@18.6359724,73.6519428,12z/data=!4m10!1m2!2m1!1sgastroenterologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b99f497c1ce9:0xc378549a1340f7b3!8m2!3d18.6312415!4d73.8022102!15sCidnYXN0cm9lbnRlcm9sb2dpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaKSInZ2FzdHJvZW50ZXJvbG9naXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgESZ2FzdHJvZW50ZXJvbG9naXN0mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ4a2VFMHdXakJPUlVaWlZtMTRURmd5Y0hsU2JtaERVa2RHVkZsWVl4QULgAQD6AQUItwEQOQ!16s%2Fg%2F11fxvhzd5j?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
GOVERDHAN CARDIODIABETIC CLINIC,gastroenterologist,Chikhali,Chikhali,4.9,270,"Shop no 1, Rama Parkland, DP Road, Shiv Rd, near Rama Barcode, Aher, Chikhali, Borhadewadi, Pune, Maharashtra 412105",078358 91535,google_maps,N/A,18.6758974,73.833498,4.18,"https://www.google.com/maps/place/GOVERDHAN+CARDIODIABETIC+CLINIC/@18.6359724,73.6519428,12z/data=!4m10!1m2!2m1!1sgastroenterologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b7308ac56483:0xbd76ba038fa0168f!8m2!3d18.6758974!4d73.833498!15sCidnYXN0cm9lbnRlcm9sb2dpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaKSInZ2FzdHJvZW50ZXJvbG9naXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgENZGlhYmV0b2xvZ2lzdOABAA!16s%2Fg%2F11srgd4hkg?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Nikhil Jillawar,gastroenterologist,Chikhali,Chikhali,4.7,97,"Divine superspeaciity hospital, Hindustan Antibiotics Colony, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018",N/A,google_maps,N/A,18.6239079,73.8124984,2.69,"https://www.google.com/maps/place/Dr.+Nikhil+Jillawar/@18.6359724,73.6519428,12z/data=!4m10!1m2!2m1!1sgastroenterologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b99e448255c9:0x6cdf145db23ccfff!8m2!3d18.6239079!4d73.8124984!15sCidnYXN0cm9lbnRlcm9sb2dpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaKSInZ2FzdHJvZW50ZXJvbG9naXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgESZ2FzdHJvZW50ZXJvbG9naXN0mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5DYm5WVVVVSm5FQUXgAQD6AQUI0QEQSA!16s%2Fg%2F11h4djkqjc?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Gastro-World, Gut Liver Clinic and Endoscopy Center",gastroenterologist,Chikhali,Chikhali,4.6,32,"Old Pune Mumbai Highway NP lifestyle, 102 and 103, 1st floor Near Union Bank Akurdi, Nigdi, Pune, Maharashtra 411035",070385 00664,google_maps,https://gastroworldclinic.com/,18.6579196,73.77799,3.3,"https://www.google.com/maps/place/Gastro-World,+Gut+Liver+Clinic+and+Endoscopy+Center/@18.6359724,73.6519428,12z/data=!4m10!1m2!2m1!1sgastroenterologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b9c6fc6bf761:0xba5d79d7f6b8493e!8m2!3d18.6579196!4d73.77799!15sCidnYXN0cm9lbnRlcm9sb2dpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaKSInZ2FzdHJvZW50ZXJvbG9naXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgESZ2FzdHJvZW50ZXJvbG9naXN04AEA!16s%2Fg%2F11sctqm9zg?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Imperial Multi Speciality Hospital,gastroenterologist,Chikhali,Chikhali,4.6,1754,"Gat No. 1193, Pingale Pride, Pingale Rd, near Radha Swami Ashram, Vitthal Nagar, Chikhali, Pune, Pimpri-Chinchwad, Maharashtra 411062",020 3503 1500,google_maps,https://imperialhospitals.in/,18.6809559,73.8080065,3.71,"https://www.google.com/maps/place/Imperial+Multi+Speciality+Hospital/@18.6359724,73.6519428,12z/data=!4m10!1m2!2m1!1sgastroenterologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b7104bdbfd81:0xc29c3a9571068d8e!8m2!3d18.6809559!4d73.8080065!15sCidnYXN0cm9lbnRlcm9sb2dpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaKSInZ2FzdHJvZW50ZXJvbG9naXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgEIaG9zcGl0YWzgAQA!16s%2Fg%2F11n0n4tg_p?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Pushkar Galam – Hope Hospital,gastroenterologist,Chikhali,Chikhali,4.9,210,"Omkar Plaza, HOPE HOSPITAL, GP-77, Thermax Chowk, near Shipra Hotel, Sambhajinagar, Chinchwad, Pune, Maharashtra 411019",099204 30490,google_maps,http://www.drpushkargalamhopehospital.com/,18.6604793,73.7956099,1.9,"https://www.google.com/maps/place/Dr.+Pushkar+Galam+%E2%80%93+Hope+Hospital/@18.6359724,73.6519428,12z/data=!4m10!1m2!2m1!1sgastroenterologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b9432c07639d:0x805d2562a5c8c0e6!8m2!3d18.6604793!4d73.7956099!15sCidnYXN0cm9lbnRlcm9sb2dpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaKSInZ2FzdHJvZW50ZXJvbG9naXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgEHc3VyZ2VvbuABAA!16s%2Fg%2F11h4ypc_1z?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Dr Manoj Kolhe - Best Gastroenterologist in PCMC | Liver Specialist, Therapeutic Endoscopist in Nigdi,Ravet,PCMC",gastroenterologist,Chikhali,Chikhali,4.2,39,"Dr Manoj Kolhe, NP lifestyle, 1st Floor, Near Union Bank,Old Pune Mumbai Highway, Akurdi, Nigdi, Pune, Maharashtra 411035",080 4803 8614,google_maps,https://www.drmanojkolhe.com/,18.6578531,73.7779039,3.31,"https://www.google.com/maps/place/Dr+Manoj+Kolhe+-+Best+Gastroenterologist+in+PCMC+%7C+Liver+Specialist,+Therapeutic+Endoscopist+in+Nigdi,Ravet,PCMC/@18.6359724,73.6519428,12z/data=!4m10!1m2!2m1!1sgastroenterologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b94ac0edc8c9:0xd64e904b658affd0!8m2!3d18.6578531!4d73.7779039!15sCidnYXN0cm9lbnRlcm9sb2dpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaKSInZ2FzdHJvZW50ZXJvbG9naXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgESZ2FzdHJvZW50ZXJvbG9naXN04AEA!16s%2Fg%2F11s4b1gqgs?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Pankaj Nemade's Clinic,gastroenterologist,Chikhali,Chikhali,5.0,18,"Second Floor, Office No. 201, Pesh Platinum, Thermax Chowk, beside Hyundai Showroom, Ajantha Nagar, Chinchwad, Pune, Pimpri-Chinchwad, Maharashtra 411019",080875 21353,google_maps,N/A,18.6615897,73.7924503,2.21,"https://www.google.com/maps/place/Dr.+Pankaj+Nemade's+Clinic/@18.6359724,73.6519428,12z/data=!4m10!1m2!2m1!1sgastroenterologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b9fc88aee8dd:0x2710318092ce3762!8m2!3d18.6615897!4d73.7924503!15sCidnYXN0cm9lbnRlcm9sb2dpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaKSInZ2FzdHJvZW50ZXJvbG9naXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgEIaG9zcGl0YWyaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUjRNWEZYYlc1QlJSQULgAQD6AQQIfBBJ!16s%2Fg%2F11sk4q8b5b?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr Shrikant Kurhade Gastroenterologist & Laser Piles Doctor in Moshi/Bhosari/PCMC,gastroenterologist,Chikhali,Chikhali,5.0,328,"Dr Shrikant Kurhade, KK Multispeciality Hospital, Alandi-Markal Rd, near Jalaram Mandir, Alandi, Pune, Alandi, Maharashtra 412105",085509 92656,google_maps,https://www.drshrikantkurhade.in/,18.6768119,73.9013802,10.42,"https://www.google.com/maps/place/Dr+Shrikant+Kurhade+Gastroenterologist+%26+Laser+Piles+Doctor+in+Moshi%2FBhosari%2FPCMC/@18.6768119,73.7571846,12z/data=!4m10!1m2!2m1!1sgastroenterologist+in+Chikhali+Chikhali!3m6!1s0x3bc2c9b5e536371b:0x3e9b3aa64942319d!8m2!3d18.6768119!4d73.9013802!15sCidnYXN0cm9lbnRlcm9sb2dpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaKSInZ2FzdHJvZW50ZXJvbG9naXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgESZ2FzdHJvZW50ZXJvbG9naXN04AEA!16s%2Fg%2F11t8d9cw9y?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
