name,specialty,city,area,stars,reviews,address,phone,phone_source,website,latitude,longitude,distance_km,maps_url
Assure Physio Clinic,physiotherapist,Chikhali,Chikhali,5.0,19,"Shop number 2 & 101, Namoh nilkanth complex, Vrindavan Chikhali Patil Nagar, Patilnagar, Talgaon Chikhali, Chikhali, Pimpri-Chinchwad, Maharashtra 411062",091723 42873,google_maps,N/A,18.684299,73.8140827,4.14,"https://www.google.com/maps/place/Assure+Physio+Clinic/@18.684299,73.6698871,12z/data=!4m10!1m2!2m1!1sphysiotherapist+in+Chikhali+Chikhali!3m6!1s0x3bc2b7bb0c99fd83:0xd181c5f7eca3afe9!8m2!3d18.684299!4d73.8140827!15sCiRwaHlzaW90aGVyYXBpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaJiIkcGh5c2lvdGhlcmFwaXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgEUcGh5c2lvdGhlcmFweV9jZW50ZXKaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjFhVGxwVk5VMVVNbFpTVWpOT1IxVllWa3hWYm1ONFVraHdUVlV5WXhBQuABAPoBBQiDAhBB!16s%2Fg%2F11yscyllbt?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr Dhanshree's Physiotherapy Clinic,physiotherapist,Chikhali,Chikhali,5.0,48,"276, Sector 16, Jadhav Wadi, Chikhali, Pimpri-Chinchwad, Maharashtra 411019",073503 07500,google_maps,N/A,18.6666552,73.8247533,2.8,"https://www.google.com/maps/place/Dr+Dhanshree's+Physiotherapy+Clinic/@18.684299,73.6698871,12z/data=!4m10!1m2!2m1!1sphysiotherapist+in+Chikhali+Chikhali!3m6!1s0x3bc2b763eeb1eb05:0xac9222aebc594288!8m2!3d18.6666552!4d73.8247533!15sCiRwaHlzaW90aGVyYXBpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaJiIkcGh5c2lvdGhlcmFwaXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgEPcGh5c2lvdGhlcmFwaXN0mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5QZERaNmJXdDNSUkFC4AEA-gEECEsQOg!16s%2Fg%2F11sh68wn8f?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Physio Mantra Physiotherapy And Sports Clinic,physiotherapist,Chikhali,Chikhali,5.0,87,"Plot no:- 60, Shayadri bungalow, Chikhali Akurdi Rd, Jijamata Housing Society, Sector 19, Koynanagar, Chinchwad, Pune, Pimpri-Chinchwad, Maharashtra 411019",092845 96669,google_maps,N/A,18.6680875,73.7985847,2.46,"https://www.google.com/maps/place/Physio+Mantra+Physiotherapy+And+Sports+Clinic/@18.684299,73.6698871,12z/data=!4m10!1m2!2m1!1sphysiotherapist+in+Chikhali+Chikhali!3m6!1s0x3bc2b7816f93aa91:0x7d0a9db4cfc5bcba!8m2!3d18.6680875!4d73.7985847!15sCiRwaHlzaW90aGVyYXBpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaJiIkcGh5c2lvdGhlcmFwaXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgEPcGh5c2lvdGhlcmFwaXN0mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDIxV1ptVllUbXhTTWpWT1ZqTm9iRlJXYUVWaE1rWm9ZMnhXV2xaR1JSQULgAQD6AQQIKRBH!16s%2Fg%2F11jz762fwk?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
We Care Physiotherapy & Rehabilitation Clinic | Physiotherapist Moshi,physiotherapist,Chikhali,Chikhali,4.9,307,"First Floor, Shop No. 9, MNGL Gas Pump, Silver Central Mall, Chikhali Rd, near Hotel SKYDECK, Shram Safaly Cooperate Society, Jadhav Wadi, Moshi, Pimpri-Chinchwad, Maharashtra 411062",098239 97204,google_maps,N/A,18.6680444,73.8290541,3.22,"https://www.google.com/maps/place/We+Care+Physiotherapy+%26+Rehabilitation+Clinic+%7C+Physiotherapist+Moshi/@18.684299,73.6698871,12z/data=!4m10!1m2!2m1!1sphysiotherapist+in+Chikhali+Chikhali!3m6!1s0x3bc2b735d6e6a5b3:0x43d114ab5dbbc4c2!8m2!3d18.6680444!4d73.8290541!15sCiRwaHlzaW90aGVyYXBpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaJiIkcGh5c2lvdGhlcmFwaXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgEUcGh5c2lvdGhlcmFweV9jZW50ZXLgAQA!16s%2Fg%2F11h2h7j0sd?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Hi-Tech sports physiotherapy & paralysis center,moshi,pune",physiotherapist,Chikhali,Chikhali,4.9,34,"opposite Silver Central Mall, Jadhav Wadi, Chikhali, moshi, Pimpri-Chinchwad, Maharashtra 411070",098706 55969,google_maps,N/A,18.6684015,73.8297991,3.3,"https://www.google.com/maps/place/Hi-Tech+sports+physiotherapy+%26+paralysis+center,moshi,pune/@18.684299,73.6698871,12z/data=!4m10!1m2!2m1!1sphysiotherapist+in+Chikhali+Chikhali!3m6!1s0x3bc2b741ad27eb6d:0x4200872bd8b395d4!8m2!3d18.6684015!4d73.8297991!15sCiRwaHlzaW90aGVyYXBpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaJiIkcGh5c2lvdGhlcmFwaXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgEUcGh5c2lvdGhlcmFweV9jZW50ZXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkdhWE5tT0VwM0VBReABAPoBBAhJEEg!16s%2Fg%2F11tfb85t4w?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Dr.Omair's Ortho, Physio & Wellness Clinic",physiotherapist,Chikhali,Chikhali,5.0,16,"Shop No 1 Balghare Nagar, Raje Shivaji Nagar, Sector 16, Chikhali, Pimpri-Chinchwad, Maharashtra 411062",095614 44010,google_maps,https://dromairorthophysiowellnessclinic.com/,18.6655897,73.818293,2.31,"https://www.google.com/maps/place/Dr.Omair's+Ortho,+Physio+%26+Wellness+Clinic/@18.684299,73.6698871,12z/data=!4m10!1m2!2m1!1sphysiotherapist+in+Chikhali+Chikhali!3m6!1s0x3bc2b732a7f2d1cd:0x261d9c8c669fc1e6!8m2!3d18.6655897!4d73.818293!15sCiRwaHlzaW90aGVyYXBpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaJiIkcGh5c2lvdGhlcmFwaXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgERb3J0aG9wZWRpY19jbGluaWOaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUk9kR1l5VjJsblJSQULgAQD6AQUIuAEQSQ!16s%2Fg%2F11tfm3t8y7?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Reinvent physiotherapy and rehabilitation center,physiotherapist,Chikhali,Chikhali,4.9,46,"Swaraj capital, Chikhali Akurdi Rd, Borhade Wadi, Moshi, Pimpri-Chinchwad, Maharashtra 411070",097022 35886,google_maps,N/A,18.683494,73.8355088,4.97,"https://www.google.com/maps/place/Reinvent+physiotherapy+and+rehabilitation+center/@18.684299,73.6698871,12z/data=!4m10!1m2!2m1!1sphysiotherapist+in+Chikhali+Chikhali!3m6!1s0x3bc2b77da9a9f83f:0xf3722d09bd892258!8m2!3d18.683494!4d73.8355088!15sCiRwaHlzaW90aGVyYXBpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaJiIkcGh5c2lvdGhlcmFwaXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgEUcGh5c2lvdGhlcmFweV9jZW50ZXKaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnBDUTFreFRuTmhNSGhoWTNreGIxRnFaSEpTTTJSM1kyNVZlVkV3UlJBQuABAPoBBAhzEDM!16s%2Fg%2F11pxr953lw?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Healyos Physiotherapy at Home,physiotherapist,Chikhali,Chikhali,4.9,30,"Pragati Angan, Rajeshivajinagar, Sector 16, Chikhali, pune, Pimpri-Chinchwad, Maharashtra 411019",093256 09388,google_maps,https://www.healyos.com/,18.6634579,73.8202414,2.22,"https://www.google.com/maps/place/Healyos+Physiotherapy+at+Home/@18.684299,73.6698871,12z/data=!4m10!1m2!2m1!1sphysiotherapist+in+Chikhali+Chikhali!3m6!1s0x3bc2b9d99e19eb9b:0x49f100e71b836c56!8m2!3d18.6634579!4d73.8202414!15sCiRwaHlzaW90aGVyYXBpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaJiIkcGh5c2lvdGhlcmFwaXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgEPcGh5c2lvdGhlcmFwaXN04AEA!16s%2Fg%2F11mtfcz7yj?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Care N Cure Clinic,physiotherapist,Chikhali,Chikhali,5.0,51,"SHOP NO 519, SHAKUNTAL COMMERCIA, Dehu - Alandi Rd, Jadhav Wadi, Chikhali, Pune, Pimpri-Chinchwad, Maharashtra 411062",082085 14102,google_maps,N/A,18.6812706,73.8291283,4.39,"https://www.google.com/maps/place/Care+N+Cure+Clinic/@18.684299,73.6698871,12z/data=!4m10!1m2!2m1!1sphysiotherapist+in+Chikhali+Chikhali!3m6!1s0x3bc2b787c9ed70f7:0x445e8ef8255ccd83!8m2!3d18.6812706!4d73.8291283!15sCiRwaHlzaW90aGVyYXBpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaJiIkcGh5c2lvdGhlcmFwaXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgEUcGh5c2lvdGhlcmFweV9jZW50ZXLgAQA!16s%2Fg%2F11t5wwk9kt?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Sneha’s PhysioTech Advance Physiotherapy Clinic,physiotherapist,Chikhali,Chikhali,4.5,2,"Shop no-139, SHAKUNTAL COMMERCIA, SHOP NO -139, 411062, Dehu - Alandi Rd, Jadhav Wadi, Chikhali, Pune, Pimpri-Chinchwad, Maharashtra 411062",N/A,not_found,https://dr-snehas-physiotech.grexa.site/,18.6813161,73.828834,4.38,"https://www.google.com/maps/place/Dr.+Sneha%E2%80%99s+PhysioTech+Advance+Physiotherapy+Clinic/@18.684299,73.6698871,12z/data=!4m10!1m2!2m1!1sphysiotherapist+in+Chikhali+Chikhali!3m6!1s0x3bc2b7894f4fa9e1:0x27eef82d32c664c!8m2!3d18.6813161!4d73.828834!15sCiRwaHlzaW90aGVyYXBpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaJiIkcGh5c2lvdGhlcmFwaXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgEPcGh5c2lvdGhlcmFwaXN0mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDI1VmVGUkdXbXRqUmxZMFZHNUtlR0l5UmpaaFZWSklVMjFHYzFsV1JSQULgAQD6AQUI0AEQRw!16s%2Fg%2F11z3xdz15w?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
