name,specialty,city,area,stars,reviews,address,phone,phone_source,website,latitude,longitude,maps_url
Weight loss center Spine Road Chikhali,Weight Loss Center,Chikhali,Chikhali,N/A,N/A,"Veena club moshi near bharat petrol pump, Dehu - Alandi Rd, opposite off D- mart, Moshi, Maharashtra 411070",N/A,google_maps,N/A,18.6793995,73.8372149,"https://www.google.com/maps/place/Weight+loss+center+Spine+Road+Chikhali/@18.6793995,73.5488238,11z/data=!4m10!1m2!2m1!1sWeight+Loss+Center+in+Chikhali+Chikhali!3m6!1s0x3bc2b7d370e71691:0x389ad616411cf05d!8m2!3d18.6793995!4d73.8372149!15sCidXZWlnaHQgTG9zcyBDZW50ZXIgaW4gQ2hpa2hhbGkgQ2hpa2hhbGmSAQ93ZWxsbmVzc19jZW50ZXLgAQA!16s%2Fg%2F11hzjyl4qh?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
NSPIRE WEIGHT LOSS WEIGHT GAIN ONLINE CENTER,Weight Loss Center,Chikhali,Chikhali,5.0,12,"Chintamani Hospital, Spine Rd, near Gunjkar Hospital, Shivatej Nagar, Maharashtra 411019",090499 31811,google_maps,https://surveyheart.com/form/684af3ad1721a264338c3725,18.6647945,73.8055553,"https://www.google.com/maps/place/NSPIRE+WEIGHT+LOSS+WEIGHT+GAIN+ONLINE+CENTER/@18.6793995,73.5488238,11z/data=!4m10!1m2!2m1!1sWeight+Loss+Center+in+Chikhali+Chikhali!3m6!1s0x3bc2b7b32f39f9f1:0x6d05645cf583a3e3!8m2!3d18.6647945!4d73.8055553!15sCidXZWlnaHQgTG9zcyBDZW50ZXIgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaKSInd2VpZ2h0IGxvc3MgY2VudGVyIGluIGNoaWtoYWxpIGNoaWtoYWxpkgERaGVhbHRoX2NvbnN1bHRhbnTgAQA!16s%2Fg%2F11mvrlb_cm?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Aditi wellness and fitness club (Weight loss & Weight Gain),Weight Loss Center,Chikhali,Chikhali,4.9,21,"Shop no. 303, SAHYADRI SHRUBERRY, Shiv Rd, above medico point, Aher, Moshi, KHED, Pimpri-Chinchwad, Maharashtra 411070",099302 37017,google_maps,https://mybusinesscard.click/ADITI-WELLNESS--FITNESS-CLUB,18.6736543,73.8320086,"https://www.google.com/maps/place/Aditi+wellness+and+fitness+club+(Weight+loss+%26+Weight+Gain)/@18.6793995,73.5488238,11z/data=!4m10!1m2!2m1!1sWeight+Loss+Center+in+Chikhali+Chikhali!3m6!1s0x3bc2c9d89082baa3:0x7ce8dc510275b410!8m2!3d18.6736543!4d73.8320086!15sCidXZWlnaHQgTG9zcyBDZW50ZXIgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaKSInd2VpZ2h0IGxvc3MgY2VudGVyIGluIGNoaWtoYWxpIGNoaWtoYWxpkgETd2VpZ2h0X2xvc3Nfc2VydmljZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOa01VMXRWbE5uRUFF4AEA-gEECAAQRw!16s%2Fg%2F11y2sr19lt?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Deva Wellness and Fitness Center,Weight Loss Center,Chikhali,Chikhali,5.0,21,"Shop No.- 101 & 102, dMart, Building- Silver Sakshi, nearby Moshi, MIDC, Moshi, Pune, Pimpri-Chinchwad, Maharashtra 411070",088305 03764,google_maps,N/A,18.6823817,73.8381588,"https://www.google.com/maps/place/Deva+Wellness+and+Fitness+Center/@18.6793995,73.5488238,11z/data=!4m10!1m2!2m1!1sWeight+Loss+Center+in+Chikhali+Chikhali!3m6!1s0x3bc2b7004a28be6b:0xe44c0193ac774b08!8m2!3d18.6823817!4d73.8381588!15sCidXZWlnaHQgTG9zcyBDZW50ZXIgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaKSInd2VpZ2h0IGxvc3MgY2VudGVyIGluIGNoaWtoYWxpIGNoaWtoYWxpkgEPd2VsbG5lc3NfY2VudGVymgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDI1T1lWTkhUbTlTYlVwR1ZGTXhObEpFYUZSaE1GWnlXVlpDTTFkSFl4QULgAQD6AQQIABAs!16s%2Fg%2F11yqwrdg86?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Weight loss centre(Nutrition centre ),Weight Loss Center,Chikhali,Chikhali,5.0,88,"4th Floor, Jayashree Towers, near Ganesh english medium school, Gawade Nagar, Chinchwad, pune, Pimpri-Chinchwad, Maharashtra 411033",098601 25130,google_maps,https://nutritionfitness2407.in/,18.6328434,73.792721,"https://www.google.com/maps/place/Weight+loss+centre(Nutrition+centre+)/@18.6793995,73.5488238,11z/data=!4m10!1m2!2m1!1sWeight+Loss+Center+in+Chikhali+Chikhali!3m6!1s0x3bc2b9035bd8e857:0x9428bea0962ea37b!8m2!3d18.6328434!4d73.792721!15sCidXZWlnaHQgTG9zcyBDZW50ZXIgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaKSInd2VpZ2h0IGxvc3MgY2VudGVyIGluIGNoaWtoYWxpIGNoaWtoYWxpkgETd2VpZ2h0X2xvc3Nfc2VydmljZZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQycEtTRll3V2twWFZtaEpXakJSZDJSRk9USlVSR2d6WkRGU1RFMXJSUkFC4AEA-gEECEsQPA!16s%2Fg%2F11f38bx44s?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Anandsagar Health and wellness centre,Weight Loss Center,Chikhali,Chikhali,5.0,5,"Tuljai Nivas Near Tulja Bhavani Mandir Gurudatta housing society Triveninagar, Tower Line Rd, Chikhali, Pune, Pimpri-Chinchwad, Maharashtra 411062",090754 25642,google_maps,N/A,18.6722783,73.7890418,"https://www.google.com/maps/place/Anandsagar+Health+and+wellness+centre/@18.6793995,73.5488238,11z/data=!4m10!1m2!2m1!1sWeight+Loss+Center+in+Chikhali+Chikhali!3m6!1s0x3bc2b7004433d50f:0x86a82f2a2e90e7f7!8m2!3d18.6722783!4d73.7890418!15sCidXZWlnaHQgTG9zcyBDZW50ZXIgaW4gQ2hpa2hhbGkgQ2hpa2hhbGmSARdjb21tdW5pdHlfaGVhbHRoX2NlbnRlcuABAA!16s%2Fg%2F11vr45cwp9?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
LIFESTYLE WEIGHT LOSS CENTER MOSHI PUNE,Weight Loss Center,Chikhali,Chikhali,5.0,8,"Lifestyle weightloss center Besment of Honda showroom, Spine Rd, Moshi Pradhikaran, Pune, Maharashtra 411070",N/A,google_maps,N/A,18.6488733,73.850288,"https://www.google.com/maps/place/LIFESTYLE+WEIGHT+LOSS+CENTER+MOSHI+PUNE/@18.6793995,73.5488238,11z/data=!4m10!1m2!2m1!1sWeight+Loss+Center+in+Chikhali+Chikhali!3m6!1s0x3bc2c79eeeda0ae5:0xba3b1646d9274de5!8m2!3d18.6488733!4d73.850288!15sCidXZWlnaHQgTG9zcyBDZW50ZXIgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaKSInd2VpZ2h0IGxvc3MgY2VudGVyIGluIGNoaWtoYWxpIGNoaWtoYWxpkgEPd2VsbG5lc3NfY2VudGVymgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDIxa1Zsb3pZekJOUjJ4NllVWkdVRkpyTVhaWGF6bHhVa1YwUzFNeVl4QULgAQD6AQQIABAb!16s%2Fg%2F11h7_jr0w_?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Healthy weight loss/weight gain,Weight Loss Center,Chikhali,Chikhali,5.0,1,"1, M Phulenagar, Jijamata Park, Chinchwad, Pimpri-Chinchwad, Maharashtra 411019",N/A,google_maps,N/A,18.6648881,73.7987605,"https://www.google.com/maps/place/Healthy+weight+loss%2Fweight+gain/@18.6793995,73.5488238,11z/data=!4m10!1m2!2m1!1sWeight+Loss+Center+in+Chikhali+Chikhali!3m6!1s0x3bc2b7005362892d:0x52b745c350e0f3d2!8m2!3d18.6648881!4d73.7987605!15sCidXZWlnaHQgTG9zcyBDZW50ZXIgaW4gQ2hpa2hhbGkgQ2hpa2hhbGmSARFoZWFsdGhfY29uc3VsdGFudOABAA!16s%2Fg%2F11n9b2hlrm?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Utpala's Homeopathy and Diet Clinic,Weight Loss Center,Chikhali,Chikhali,4.9,30,"behind Snake park, opposite Umbrella Garden, Sambhajinagar, Chinchwad, Pune, Pimpri-Chinchwad, Maharashtra 411019",094208 86608,google_maps,N/A,18.6615435,73.8007925,"https://www.google.com/maps/place/Dr.+Utpala's+Homeopathy+and+Diet+Clinic/@18.6793995,73.5488238,11z/data=!4m10!1m2!2m1!1sWeight+Loss+Center+in+Chikhali+Chikhali!3m6!1s0x3bc2b8298a8631ef:0xf85619eecbde7eb1!8m2!3d18.6615435!4d73.8007925!15sCidXZWlnaHQgTG9zcyBDZW50ZXIgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaKSInd2VpZ2h0IGxvc3MgY2VudGVyIGluIGNoaWtoYWxpIGNoaWtoYWxpkgEJZGlldGl0aWFumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVIwT0hSdFVHZFJSUkFC4AEA-gEECAAQMg!16s%2Fg%2F11tjdrjdv9?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Fitness Pro (Online/Virtual Fitness Studio & Diet Consultant),Weight Loss Center,Chikhali,Chikhali,5.0,26,"Phase-1, GANDHARV EXCELLENCE, F-802, Dehu - Moshi Rd, MIDC, Moshi, Pimpri-Chinchwad, Maharashtra 412105",N/A,not_found,https://www.facebook.com/fitnesspro.supriya/,18.676398,73.8403361,"https://www.google.com/maps/place/Fitness+Pro+(Online%2FVirtual+Fitness+Studio+%26+Diet+Consultant)/@18.6793995,73.5488238,11z/data=!4m10!1m2!2m1!1sWeight+Loss+Center+in+Chikhali+Chikhali!3m6!1s0x3bc2b791bd76e50d:0xa801eb743f4474fb!8m2!3d18.676398!4d73.8403361!15sCidXZWlnaHQgTG9zcyBDZW50ZXIgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaKSInd2VpZ2h0IGxvc3MgY2VudGVyIGluIGNoaWtoYWxpIGNoaWtoYWxpkgEOZml0bmVzc19jZW50ZXLgAQA!16s%2Fg%2F11mdy8n_3g?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
