name,specialty,city,area,stars,reviews,address,phone,phone_source,website,latitude,longitude,distance_km,maps_url
Cloudnine IVF Center in Pimple Saudagar | Best Fertility & IVF Treatments in Pune,IVF Center,Chikhali,Chikhali,4.8,196,"Blue Sapphire Business Park, near Govind Yashada Chowk, Vishawshanti Colony, Pimple Saudagar, Pune, Pimpri-Chinchwad, Maharashtra 411027",080 6821 6217,google_maps,https://www.cloudninefertility.com/centre/fertility-ivf-hospitals-in-pimple-saudagar?utm_city=pune&utm_source=gmb&utm_medium=organic&utm_campaign=pune+pimple-saudagar+c9-fertility-gmb-website&utm_content=website-button,18.5977057,73.8008108,5.59,"https://www.google.com/maps/place/Cloudnine+IVF+Center+in+Pimple+Saudagar+%7C+Best+Fertility+%26+IVF+Treatments+in+Pune/@18.597706,73.6566154,12z/data=!4m10!1m2!2m1!1sIVF+Center+in+Chikhali+Chikhali!3m6!1s0x3bc2b90a5a7d4669:0x5ee2f5bf90ed2b26!8m2!3d18.5977057!4d73.8008108!15sCh9JVkYgQ2VudGVyIGluIENoaWtoYWxpIENoaWtoYWxpWiEiH2l2ZiBjZW50ZXIgaW4gY2hpa2hhbGkgY2hpa2hhbGmSARBmZXJ0aWxpdHlfY2xpbmljmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJpYUdKTFpHMVJSUkFC4AEA-gEFCJwBEDU!16s%2Fg%2F11svk5jlg_?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Grace IVF Fertility & IVF Centre,IVF Center,Chikhali,Chikhali,5.0,47,"Dhanashree Multispeciality Hospital, Gat no. 137, Dehu alandi road, Indrayani Rd, near Bharat Mata chowk, Moshi Gaon, Moshi, Pimpri-Chinchwad, Maharashtra 412105",099704 22087,google_maps,https://graceivfcentre.com/,18.6790064,73.8563843,6.23,"https://www.google.com/maps/place/Grace+IVF+Fertility+%26+IVF+Centre/@18.6790064,73.7121887,12z/data=!4m10!1m2!2m1!1sIVF+Center+in+Chikhali+Chikhali!3m6!1s0x3bc2c9bd03111677:0x59af891dbd910342!8m2!3d18.6790064!4d73.8563843!15sCh9JVkYgQ2VudGVyIGluIENoaWtoYWxpIENoaWtoYWxpWiEiH2l2ZiBjZW50ZXIgaW4gY2hpa2hhbGkgY2hpa2hhbGmSARBmZXJ0aWxpdHlfY2xpbmlj4AEA!16s%2Fg%2F11x6qqns8t?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Nova IVF Fertility Center PCMC - Best IVF Center in Pimpri Chinchwad, Pune",IVF Center,Chikhali,Chikhali,4.8,106,"1st Floor, Bizhub, Morewadi, Pimpri Colony, Pimpri-Chinchwad, Pune, Maharashtra 411018",080 4447 7091,google_maps,https://www.novaivffertility.com/ivf-centre/pune/fertility-clinic-pimpri-chinchwad?utm_source=GMB&utm_medium=organic,18.627209,73.806327,2.27,"https://www.google.com/maps/place/Nova+IVF+Fertility+Center+PCMC+-+Best+IVF+Center+in+Pimpri+Chinchwad,+Pune/@18.6790064,73.7121887,12z/data=!4m10!1m2!2m1!1sIVF+Center+in+Chikhali+Chikhali!3m6!1s0x3bc2b90045c7f81b:0x3ab4a14dbbf8c7df!8m2!3d18.627209!4d73.806327!15sCh9JVkYgQ2VudGVyIGluIENoaWtoYWxpIENoaWtoYWxpWiEiH2l2ZiBjZW50ZXIgaW4gY2hpa2hhbGkgY2hpa2hhbGmSARBmZXJ0aWxpdHlfY2xpbmljmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDI1Vk1rNXFXa1pUUmxacVRWVjBlVTVFVmtwT1ZXdzJWa2RzZDFaVlJSQULgAQD6AQUImQQQSA!16s%2Fg%2F11lmdqfq5p?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
FYNE IVF Clinic - Moshi,IVF Center,Chikhali,Chikhali,5.0,5,"3rd Floor, Accord Hospitals, Plot No. 1, Spine Rd, beside FDA, Sant Nagar, Moshi Pradhikaran, Sector Number 4, Moshi, Pimpri-Chinchwad, Maharashtra 411070",096659 89191,google_maps,https://www.fyneivf.com/,18.6481525,73.8497171,4.46,"https://www.google.com/maps/place/FYNE+IVF+Clinic+-+Moshi/@18.6790064,73.7121887,12z/data=!4m10!1m2!2m1!1sIVF+Center+in+Chikhali+Chikhali!3m6!1s0x3bc2c788583104e9:0x104cb305746a3b6d!8m2!3d18.6481525!4d73.8497171!15sCh9JVkYgQ2VudGVyIGluIENoaWtoYWxpIENoaWtoYWxpWiEiH2l2ZiBjZW50ZXIgaW4gY2hpa2hhbGkgY2hpa2hhbGmSARBmZXJ0aWxpdHlfY2xpbmlj4AEA!16s%2Fg%2F11xfqkpf9d?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Infertility & PCOD Specialist In PCMC - Dr. Avinash Deore | Heavy periods, Irregular menses treatment, treatment in PCMC",IVF Center,Chikhali,Chikhali,4.8,381,"Kohinoor Arcade, Shop No.116, First Floor, Tilak Chowk, Old Mumbai - Pune Hwy, Nigdi, Pune, Maharashtra 411044",094225 58509,google_maps,https://www.infertilityayurved.in/,18.6589147,73.7768575,3.45,"https://www.google.com/maps/place/Infertility+%26+PCOD+Specialist+In+PCMC+-+Dr.+Avinash+Deore+%7C+Heavy+periods,+Irregular+menses+treatment,+treatment+in+PCMC/@18.6589147,73.6326619,12z/data=!3m1!5s0x3bc2b9df6df0eaf1:0x41d647af64903b9c!4m10!1m2!2m1!1sIVF+Center+in+Chikhali+Chikhali!3m6!1s0x3bc2b9d8c780e1d7:0x2e59456497b122d7!8m2!3d18.6589147!4d73.7768575!15sCh9JVkYgQ2VudGVyIGluIENoaWtoYWxpIENoaWtoYWxpWiEiH2l2ZiBjZW50ZXIgaW4gY2hpa2hhbGkgY2hpa2hhbGmSARBmZXJ0aWxpdHlfY2xpbmlj4AEA!16s%2Fg%2F11b7jmqzn1?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Mother Care and IVF Clinic,IVF Center,Chikhali,Chikhali,4.7,64,"Ground Floor, Shop no.9, Samrat Chowk, Rama Equator, Morewadi, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018",098904 77743,google_maps,N/A,18.6337593,73.8039694,1.58,"https://www.google.com/maps/place/Mother+Care+and+IVF+Clinic/@18.6589147,73.6326619,12z/data=!4m10!1m2!2m1!1sIVF+Center+in+Chikhali+Chikhali!3m6!1s0x3bc2b95eff57af8f:0x785cf0722ec5791c!8m2!3d18.6337593!4d73.8039694!15sCh9JVkYgQ2VudGVyIGluIENoaWtoYWxpIENoaWtoYWxpWiEiH2l2ZiBjZW50ZXIgaW4gY2hpa2hhbGkgY2hpa2hhbGmSAQhob3NwaXRhbJoBJENoZERTVWhOTUc5blMwVkpRMEZuVFVOWmNFcG1aVE5SUlJBQuABAPoBBQitBRBC!16s%2Fg%2F11krmd0lkl?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Nirmiti Clinic | Best IVF Centre in PCMC,PUNE | Best Male/Female Fertility,Test Tube Baby Centre in PCMC",IVF Center,Chikhali,Chikhali,4.6,97,"Nirmiti Clinic,Q224-226,2nd Floor,Mayur Trade Centre, Chinchwad Station Rd, Chinchwad, Pimpri-Chinchwad, Maharashtra 411019",080 4803 4066,google_maps,https://www.nirmiticlinicpune.com/,18.6393392,73.7941051,1.68,"https://www.google.com/maps/place/Nirmiti+Clinic+%7C+Best+IVF+Centre+in+PCMC,PUNE+%7C+Best+Male%2FFemale+Fertility,Test+Tube+Baby+Centre+in+PCMC/@18.6589147,73.6326619,12z/data=!3m1!5s0x3bdd3faec52cd913:0x2b6c1570bf0a6cf3!4m10!1m2!2m1!1sIVF+Center+in+Chikhali+Chikhali!3m6!1s0x3bc2b983bac0ab91:0xc0f3acf9bcebf7e2!8m2!3d18.6393392!4d73.7941051!15sCh9JVkYgQ2VudGVyIGluIENoaWtoYWxpIENoaWtoYWxpWiEiH2l2ZiBjZW50ZXIgaW4gY2hpa2hhbGkgY2hpa2hhbGmSARBmZXJ0aWxpdHlfY2xpbmlj4AEA!16s%2Fg%2F11h8brsyjc?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Indira IVF Fertility Centre in Pimpri-Chinchwad - Best IVF Centre,IVF Center,Chikhali,Chikhali,4.9,290,"1st Floor, Shop no. 101, Commercial Building Dwarka Sai Society, Godambe Chowk, near Vimal garden, Rahatani Gaon, Pawana Nagar, Rahatani, Pune, Pimpri-Chinchwad, Maharashtra 411017",088671 81100,google_maps,https://bit.ly/3MJgqM1,18.603584,73.7916595,5.17,"https://www.google.com/maps/place/Indira+IVF+Fertility+Centre+in+Pimpri-Chinchwad+-+Best+IVF+Centre/@18.6589147,73.6326619,12z/data=!4m10!1m2!2m1!1sIVF+Center+in+Chikhali+Chikhali!3m6!1s0x3bc2b9bb8b119517:0x71f4ba40becb1114!8m2!3d18.603584!4d73.7916595!15sCh9JVkYgQ2VudGVyIGluIENoaWtoYWxpIENoaWtoYWxpWiEiH2l2ZiBjZW50ZXIgaW4gY2hpa2hhbGkgY2hpa2hhbGmSARBmZXJ0aWxpdHlfY2xpbmlj4AEA!16s%2Fg%2F11tgdgj4jd?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Conceive IVF Fertility,Gynecology & Test Tube Baby Center-Best IVF Centre, IVF Treatment, IVF Clinic in Pimpri,PCMC,Pune",IVF Center,Chikhali,Chikhali,4.9,81,"A114,1st Floor,Gera's Imperium Oasis Old Mumbai - Pune Highway, Finolex Chowk, above Malabar Gold, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018",080 4278 1385,google_maps,https://www.conceiveivfpune.com/pimpri,18.6310568,73.8021284,1.92,"https://www.google.com/maps/place/Conceive+IVF+Fertility,Gynecology+%26+Test+Tube+Baby+Center-Best+IVF+Centre,+IVF+Treatment,+IVF+Clinic+in+Pimpri,PCMC,Pune/@18.6589147,73.6326619,12z/data=!4m10!1m2!2m1!1sIVF+Center+in+Chikhali+Chikhali!3m6!1s0x3bc2b9062f1f68fd:0x2b90e64328ceed9c!8m2!3d18.6310568!4d73.8021284!15sCh9JVkYgQ2VudGVyIGluIENoaWtoYWxpIENoaWtoYWxpWiEiH2l2ZiBjZW50ZXIgaW4gY2hpa2hhbGkgY2hpa2hhbGmSARBmZXJ0aWxpdHlfY2xpbmlj4AEA!16s%2Fg%2F11t28c8_47?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Pune IVF Fertility Centre & Research Institute, Pimple Saudagar, Pimpri Chinchwad",IVF Center,Chikhali,Chikhali,5.0,164,"Brt Road, Unit No 25, 4th floor, Ganesham Commercial A, Wakad - Nashik Phata BRTS Rd, near Govind Yashada Chowk, Pimple Saudagar, Pune, Maharashtra 411027",090907 87890,google_maps,https://puneivf.com/,18.59755,73.8056909,5.57,"https://www.google.com/maps/place/Pune+IVF+Fertility+Centre+%26+Research+Institute,+Pimple+Saudagar,+Pimpri+Chinchwad/@18.6589147,73.6326619,12z/data=!4m10!1m2!2m1!1sIVF+Center+in+Chikhali+Chikhali!3m6!1s0x3bc2b9b586e1b9f5:0xefedb415a4734c12!8m2!3d18.59755!4d73.8056909!15sCh9JVkYgQ2VudGVyIGluIENoaWtoYWxpIENoaWtoYWxpWiEiH2l2ZiBjZW50ZXIgaW4gY2hpa2hhbGkgY2hpa2hhbGmSARBmZXJ0aWxpdHlfY2xpbmlj4AEA!16s%2Fg%2F11w2nlzf2k?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
