name,specialty,city,area,stars,reviews,address,phone,phone_source,website,latitude,longitude,maps_url
Dr. Tooth Advanced Dental Care & Implant Center | Best Dentist Prabhat Road Pune | Best Pediatric Dentist Pune,Dentist,Pune,,5.0,279,"Vinayak Smruti Apartments, 114/A, Prabhat Rd, opp. Prabhat police chowki, Erandwane, Pune, Maharashtra 411004",080877 83344,google_maps,https://drtoothpune.com/,18.5141374,73.8336604,"https://www.google.com/maps/place/Dr.+Tooth+Advanced+Dental+Care+%26+Implant+Center+%7C+Best+Dentist+Prabhat+Road+Pune+%7C+Best+Pediatric+Dentist+Pune/@18.5135105,73.8136174,14.75z/data=!4m10!1m2!2m1!1sDentist+in+Pune!3m6!1s0x3bc2bf8f0fc3f403:0x3cca11e41ed08f85!8m2!3d18.5141374!4d73.8336604!15sCg9EZW50aXN0IGluIFB1bmVaESIPZGVudGlzdCBpbiBwdW5lkgENZGVudGFsX2NsaW5pY5oBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyeFNjMlF3TlhwWU1FWklXa1ZzV1ZkcmFHWlNSa2t5VGxkc1UxUnNSUkFC4AEA-gEECBIQSg!16s%2Fg%2F11c2q34cnm?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Smilex Dental Implant & Aligner Centers,Dentist,Pune,,4.9,509,"3rd Floor, Rahul Capital, Prabhat Rd, Erandwane, Pune, Maharashtra 411004",097654 07660,google_maps,https://smilex.co.in/,18.5143529,73.83282,"https://www.google.com/maps/place/Smilex+Dental+Implant+%26+Aligner+Centers/@18.4671589,73.4751985,11z/data=!4m10!1m2!2m1!1sDentist+in+Pune!3m6!1s0x3bc2bf8f3fffffff:0x2b06578c895de5b!8m2!3d18.5143529!4d73.83282!15sCg9EZW50aXN0IGluIFB1bmVaESIPZGVudGlzdCBpbiBwdW5lkgENZGVudGFsX2NsaW5pY-ABAA!16s%2Fg%2F1tf0p1qy?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
The Dental Works -- Dentist In Pune,Dentist,Pune,,4.8,104,"102-105, First Floor, Park Plaza, Opp Kamla Nehru Park, Maharashtra 411004",020 2566 5700,google_maps,http://thedentalworks.co.in/,18.517542,73.8339893,"https://www.google.com/maps/place/The+Dental+Works+--+Dentist+In+Pune/@18.5005392,73.8112591,14.08z/data=!3m1!5s0x3bc2bf858da4707d:0xc1e95fb04f64f6e5!4m10!1m2!2m1!1sDentist+in+Pune!3m6!1s0x3bc2bf85aedbffff:0xbaec1c85aa082357!8m2!3d18.517542!4d73.8339893!15sCg9EZW50aXN0IGluIFB1bmVaESIPZGVudGlzdCBpbiBwdW5lkgEHZGVudGlzdOABAA!16s%2Fg%2F11c712rmry?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Joshi Dental Studio - Prabhat Road,Dentist,Pune,,5.0,131,"1st Floor Bhagyashree, Prabhat Road, Lane No. 15 Deccan Gymkhana, Erandwane, Pune, Maharashtra 411004",093700 11031,google_maps,https://www.joshidentalstudio.com/,18.5166932,73.8311574,"https://www.google.com/maps/place/Joshi+Dental+Studio+-+Prabhat+Road/@18.5166932,73.7971318,14z/data=!4m10!1m2!2m1!1sDentist+in+Pune!3m6!1s0x3bc2bfe93d5b469f:0xbc4f81b2728657f5!8m2!3d18.5166932!4d73.8311574!15sCg9EZW50aXN0IGluIFB1bmVaESIPZGVudGlzdCBpbiBwdW5lkgENZGVudGFsX2NsaW5pY-ABAA!16s%2Fg%2F11sdp1jyg9?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"D-Dent Care Laser and Multi-speciality Dental Clinic, Erandwane, Pune",Dentist,Pune,,4.9,186,"1st floor, Castle Eleganza, near Kalmadi High school, above Katakir Misal, Bhonde Colony, Erandwane, Pune, Maharashtra 411004",095112 97817,google_maps,https://ddentcare.com/,18.5121063,73.8336775,"https://www.google.com/maps/place/D-Dent+Care+Laser+and+Multi-speciality+Dental+Clinic,+Erandwane,+Pune/@18.5166932,73.7971318,14z/data=!4m10!1m2!2m1!1sDentist+in+Pune!3m6!1s0x3bc2bf060c05ff17:0xceb10de72935afb1!8m2!3d18.5121063!4d73.8336775!15sCg9EZW50aXN0IGluIFB1bmVaESIPZGVudGlzdCBpbiBwdW5lkgENZGVudGFsX2NsaW5pY-ABAA!16s%2Fg%2F11v0sp87dh?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Deccan Dental Clinic,Dentist,Pune,,4.8,885,"759/53, 1st floor, Fergusson College Rd, Opposite Chitalebandhu Garware bridge corner, Deccan Gymkhana, Pune, Maharashtra 411004",073870 40464,google_maps,http://www.bestorthodontistbracespune.in/,18.5158446,73.8418693,"https://www.google.com/maps/place/Deccan+Dental+Clinic/@18.5166932,73.7971318,14z/data=!3m1!5s0x3bc2bf887cbe6887:0xff59b1aac85a0216!4m10!1m2!2m1!1sDentist+in+Pune!3m6!1s0x3bc2bf881e459a07:0xafc040a99b72f7c5!8m2!3d18.5158446!4d73.8418693!15sCg9EZW50aXN0IGluIFB1bmVaESIPZGVudGlzdCBpbiBwdW5lkgENZGVudGFsX2NsaW5pY5oBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyNXZkRk5YU2pGTmVrNUZWa1pTZUZReWVFbFRNRFUwVVcxV2Exb3dSUkFC4AEA-gEECBoQOQ!16s%2Fg%2F11bw5_2f_0?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Ori Ease Dental Clinic in Pune | Dr. Saily Joshi - Dentist in Pune, Dental Implants, Root Canal",Dentist,Pune,,5.0,146,"Damle Path 1st Floor Prabhat House Lane next to Indsearch Institute, Erandwane, Deccan Gymkhana, Pune, Maharashtra 411038",083800 80201,google_maps,https://orieasedentalclinic.com/,18.5144716,73.8283287,"https://www.google.com/maps/place/Ori+Ease+Dental+Clinic+in+Pune+%7C+Dr.+Saily+Joshi+-+Dentist+in+Pune,+Dental+Implants,+Root+Canal/@18.5166932,73.7971318,14z/data=!3m1!5s0x3bc2bf8e5283ea67:0xc4f4bc0908538e57!4m10!1m2!2m1!1sDentist+in+Pune!3m6!1s0x3bc2bf894fdb4bdd:0x8f4de557f57f422c!8m2!3d18.5144716!4d73.8283287!15sCg9EZW50aXN0IGluIFB1bmVaESIPZGVudGlzdCBpbiBwdW5lkgENZGVudGFsX2NsaW5pY5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSUU5EUlhkRk4zRUFF4AEA-gEFCLYCEDo!16s%2Fg%2F11c1wq69fm?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Zen Dentistry,Dentist,Pune,,4.9,81,"First floor, Reverie Apartments, Bhandarkar Rd, above Skoda Showroom, opp. Dilip Oak’s Academy, Shivaji Nagar, Deccan Gymkhana, Pune, Maharashtra 411004",097425 45845,google_maps,N/A,18.5189029,73.8314879,"https://www.google.com/maps/place/Zen+Dentistry/@18.5166932,73.7971318,14z/data=!4m10!1m2!2m1!1sDentist+in+Pune!3m6!1s0x3bc2bf5eb0e8acc3:0x24938f5b81477727!8m2!3d18.5189029!4d73.8314879!15sCg9EZW50aXN0IGluIFB1bmVaESIPZGVudGlzdCBpbiBwdW5lkgENZGVudGFsX2NsaW5pY5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWU1FOU1WSGRCUlJBQuABAPoBBAgAEEI!16s%2Fg%2F11nnz7jb4z?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Tooth Easy Dental Clinic,Dentist,Pune,,4.9,143,"First floor, Samadhan Building, Goodluck Chowk, 103, Bhandarkar Rd, next to The Oakwood hotel, Deccan Gymkhana, Pune, Maharashtra 411004",N/A,not_found,https://www.tootheasy.com/,18.5175674,73.8405969,"https://www.google.com/maps/place/Tooth+Easy+Dental+Clinic/@18.5166932,73.7971318,14z/data=!3m1!5s0x3bc2bf863ef6cf6b:0x4d15493f96b202bb!4m10!1m2!2m1!1sDentist+in+Pune!3m6!1s0x3bc2bf075b23d52d:0xecb2be6193842e90!8m2!3d18.5175674!4d73.8405969!15sCg9EZW50aXN0IGluIFB1bmVaESIPZGVudGlzdCBpbiBwdW5lkgENZGVudGFsX2NsaW5pY-ABAA!16s%2Fg%2F11sz9jvj78?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Orthosquare,Dentist,Pune,,4.8,723,"Indrapushp Building, 15/3, Karve Rd, nearby Ranka Jewellers, Bhalekar Chawl, Erandwane, Pune, Maharashtra 411004",08071 820 893,google_maps,https://dental-clinics.orthosquare.com/near-me/pune/Erandwane/orthosquare-dental-clinic-in-Erandwane-pune--1Tbh7b/home,18.5098409,73.8340511,"https://www.google.com/maps/place/Orthosquare/@18.5166932,73.7971318,14z/data=!3m1!5s0x3bc2bf8c24cd4dcd:0x3b472846891c149!4m10!1m2!2m1!1sDentist+in+Pune!3m6!1s0x3bc2bf7f42a4d363:0xcfde7533dc18042c!8m2!3d18.5098409!4d73.8340511!15sCg9EZW50aXN0IGluIFB1bmVaESIPZGVudGlzdCBpbiBwdW5lkgENZGVudGFsX2NsaW5pY-ABAA!16s%2Fg%2F11h0vspzv1?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
